"activities-heart__value__heartRateZones__caloriesOut","activities-heart__value__heartRateZones__max","activities-heart__value__heartRateZones__min","activities-heart__value__heartRateZones__minutes","activities-heart__value__heartRateZones__name","activities-heart__value__restingHeartRate","activities-heart__dateTime","activities-heart-intraday__dataset__time","activities-heart-intraday__dataset__value","activities-heart-intraday__datasetInterval","activities-heart-intraday__datasetType"
"3083.8444","106","30","1416","Out of Range","45","2025-03-18","00:00:00","43","1","minute"
"91.06396","137","106","9","Fat Burn","","","00:01:00","42","",""
"181.87104000000002","175","137","15","Cardio","","","00:02:00","43","",""
"0","220","175","0","Peak","","","00:03:00","42","",""
"","","","","","","","00:04:00","42","",""
"","","","","","","","00:05:00","44","",""
"","","","","","","","00:06:00","47","",""
"","","","","","","","00:07:00","52","",""
"","","","","","","","00:08:00","61","",""
"","","","","","","","00:09:00","61","",""
"","","","","","","","00:10:00","64","",""
"","","","","","","","00:11:00","69","",""
"","","","","","","","00:12:00","73","",""
"","","","","","","","00:13:00","62","",""
"","","","","","","","00:14:00","58","",""
"","","","","","","","00:15:00","48","",""
"","","","","","","","00:16:00","52","",""
"","","","","","","","00:17:00","55","",""
"","","","","","","","00:18:00","45","",""
"","","","","","","","00:19:00","47","",""
"","","","","","","","00:20:00","51","",""
"","","","","","","","00:21:00","47","",""
"","","","","","","","00:22:00","49","",""
"","","","","","","","00:23:00","52","",""
"","","","","","","","00:24:00","44","",""
"","","","","","","","00:25:00","47","",""
"","","","","","","","00:26:00","48","",""
"","","","","","","","00:27:00","51","",""
"","","","","","","","00:28:00","51","",""
"","","","","","","","00:29:00","49","",""
"","","","","","","","00:30:00","48","",""
"","","","","","","","00:31:00","47","",""
"","","","","","","","00:32:00","48","",""
"","","","","","","","00:33:00","48","",""
"","","","","","","","00:34:00","49","",""
"","","","","","","","00:35:00","44","",""
"","","","","","","","00:36:00","39","",""
"","","","","","","","00:37:00","40","",""
"","","","","","","","00:38:00","40","",""
"","","","","","","","00:39:00","40","",""
"","","","","","","","00:40:00","41","",""
"","","","","","","","00:41:00","40","",""
"","","","","","","","00:42:00","39","",""
"","","","","","","","00:43:00","40","",""
"","","","","","","","00:44:00","39","",""
"","","","","","","","00:45:00","40","",""
"","","","","","","","00:46:00","39","",""
"","","","","","","","00:47:00","39","",""
"","","","","","","","00:48:00","39","",""
"","","","","","","","00:49:00","39","",""
"","","","","","","","00:50:00","39","",""
"","","","","","","","00:51:00","38","",""
"","","","","","","","00:52:00","39","",""
"","","","","","","","00:53:00","39","",""
"","","","","","","","00:54:00","39","",""
"","","","","","","","00:55:00","38","",""
"","","","","","","","00:56:00","39","",""
"","","","","","","","00:57:00","39","",""
"","","","","","","","00:58:00","39","",""
"","","","","","","","00:59:00","39","",""
"","","","","","","","01:00:00","38","",""
"","","","","","","","01:01:00","39","",""
"","","","","","","","01:02:00","39","",""
"","","","","","","","01:03:00","39","",""
"","","","","","","","01:04:00","40","",""
